"","num_cpan_modules","num_cpan_modules_handed_over"
"822",2,2
"823",1,1
"824",1,1
"825",NA,NA
"826",2,1
"827",1,1
"828",1,1
"829",1,1
"830",1,1
"831",4,1
"832",NA,NA
"833",1,1
"834",1,1
"835",NA,NA
"836",1,1
"837",NA,NA
"838",1,1
"839",1,1
"840",1,1
"841",1,1
"842",1,2
"843",NA,NA
"844",NA,NA
"845",NA,NA
"846",1,1
"847",1,1
"848",2,2
"849",1,1
"850",NA,NA
"851",2,2
"852",NA,NA
"853",2,1
"854",1,1
"855",1,1
"856",1,1
"857",1,1
"858",NA,NA
"859",1,1
"860",1,1
"861",1,1
"862",1,1
"863",1,1
"864",1,1
"865",1,1
"866",NA,NA
"867",NA,NA
"868",1,1
"869",NA,NA
"870",1,1
"871",1,1
"872",1,1
"873",1,1
"874",1,1
"875",NA,NA
"876",1,1
"877",1,1
"878",NA,NA
"879",1,1
"880",NA,NA
"881",NA,NA
"882",1,1
"883",1,2
"884",1,1
"885",1,1
"886",1,1
"887",1,1
"888",1,1
"889",2,1
"890",3,1
"891",1,2
"892",1,1
"893",1,1
"894",1,1
"895",1,1
"896",2,1
"897",1,1
"898",1,1
"899",NA,NA
"900",1,1
"901",1,1
"902",NA,NA
"903",NA,NA
"904",NA,NA
"905",NA,NA
"906",NA,NA
"907",NA,NA
"908",1,1
"909",1,1
"910",NA,NA
"911",1,1
"912",NA,NA
"913",1,1
"914",NA,NA
"915",1,1
"916",NA,NA
"917",NA,4
"918",1,1
"919",1,1
"920",1,1
"921",1,1
"922",2,1
"923",1,1
"924",2,1
"925",NA,NA
"926",1,2
"927",1,1
"928",1,1
"929",1,1
"930",1,1
"931",1,1
"932",2,1
"933",1,1
"934",1,1
"935",2,1
"936",1,1
"937",NA,NA
"938",1,1
"939",2,1
"940",2,1
"941",1,1
"942",NA,NA
"943",2,1
"944",2,1
"945",2,1
"946",1,1
"947",2,1
"948",2,1
"949",2,1
"950",1,1
"951",1,1
"952",1,1
"953",NA,NA
"954",1,1
"955",NA,NA
"956",4,2
"957",1,1
"958",NA,NA
"959",1,1
"960",1,1
"961",NA,NA
"962",1,1
"963",1,1
"964",1,1
"965",NA,NA
"966",1,1
"967",1,1
"968",1,1
"969",1,1
"970",1,1
"971",NA,NA
"972",2,1
"973",1,1
"974",1,1
"975",1,1
"976",1,1
"977",NA,NA
"978",2,1
"979",NA,NA
"980",1,1
"981",NA,NA
"982",1,2
"983",1,1
"984",1,1
"985",2,1
"986",2,1
"987",1,1
"988",NA,NA
"989",1,1
"990",2,2
"991",NA,NA
"992",1,3
"993",NA,NA
"994",NA,NA
"995",NA,NA
"996",1,1
"997",1,1
"998",1,1
"999",1,1
"1000",1,1
"1001",1,1
"1002",NA,NA
"1003",1,1
"1004",1,1
"1005",2,1
"1006",1,1
"1007",NA,NA
"1008",NA,NA
"1009",2,1
"1010",1,1
"1011",1,1
"1012",1,1
"1013",NA,NA
"1014",1,1
"1015",1,1
"1016",1,1
"1017",NA,NA
"1018",2,2
"1019",1,1
"1020",1,1
"1021",1,1
"1022",1,1
"1023",1,1
"1024",1,1
"1025",1,1
"1026",NA,NA
"1027",1,1
"1028",1,1
"1029",2,1
"1030",1,1
"1031",1,1
"1032",2,1
"1033",2,1
"1034",1,1
"1035",NA,NA
"1036",1,1
"1037",1,1
"1038",1,1
"1039",NA,NA
"1040",3,1
"1041",3,1
"1042",NA,NA
"1043",1,1
"1044",NA,NA
"1045",1,1
"1046",1,1
"1047",1,1
"1048",NA,NA
"1049",1,1
"1050",1,1
"1051",4,1
"1052",1,1
"1053",1,1
"1054",1,1
"1055",1,1
"1056",1,1
"1057",2,1
"1058",NA,NA
"1059",NA,NA
"1060",1,1
"1061",1,1
"1062",1,1
"1063",2,1
"1064",NA,NA
"1065",1,1
"1066",1,1
"1067",2,1
"1068",1,1
"1069",1,1
"1070",1,1
"1071",NA,NA
"1072",1,1
"1073",NA,NA
"1074",1,1
"1075",2,1
"1076",2,2
"1077",NA,NA
"1078",2,1
"1079",1,1
"1080",1,1
"1081",NA,NA
"1082",NA,NA
"1083",2,1
"1084",1,1
"1085",1,1
"1086",1,1
"1087",1,1
"1088",NA,NA
"1089",2,2
"1090",1,1
"1091",1,1
"1092",1,1
"1093",1,1
"1094",NA,NA
"1095",2,1
"1096",1,1
"1097",NA,NA
"1098",NA,NA
"1099",1,1
"1100",NA,NA
"1101",NA,NA
"1102",NA,NA
"1103",1,1
"1104",1,1
"1105",1,1
"1106",NA,NA
"1107",2,1
"1108",NA,NA
"1109",1,1
"1110",1,1
"1111",1,1
"1112",1,1
"1113",NA,NA
"1114",1,1
"1115",1,1
"1116",1,1
"1117",3,1
"1118",NA,NA
"1119",NA,NA
"1120",1,1
"1121",1,1
"1122",1,1
"1123",1,1
"1124",1,1
"1125",NA,NA
"1126",1,1
"1127",1,1
"1128",NA,NA
"1129",NA,NA
"1130",3,1
"1131",1,1
"1132",1,1
"1133",1,1
"1134",NA,NA
"1135",1,1
"1136",1,1
"1137",2,1
"1138",3,1
"1139",NA,NA
"1140",1,1
"1141",NA,NA
"1142",1,1
"1143",1,1
"1144",1,1
"1145",NA,NA
"1146",4,3
"1147",NA,NA
"1148",2,1
"1149",2,1
"1150",NA,NA
"1151",2,1
"1152",NA,NA
"1153",1,1
"1154",1,1
"1155",NA,NA
"1156",1,1
"1157",1,1
"1158",1,1
"1159",1,1
"1160",1,1
"1161",3,2
"1162",NA,NA
"1163",2,1
"1164",1,1
"1165",2,1
"1166",1,1
"1167",NA,NA
"1168",2,1
"1169",NA,NA
"1170",1,1
"1171",NA,NA
"1172",1,1
"1173",2,1
"1174",NA,NA
"1175",2,1
"1176",1,1
"1177",1,1
"1178",1,1
"1179",1,1
"1180",1,1
"1181",1,1
"1182",1,1
"1183",NA,NA
"1184",2,2
"1185",1,1
"1186",NA,NA
"1187",NA,NA
"1188",NA,NA
"1189",1,1
"1190",1,2
"1191",1,1
"1192",NA,NA
"1193",1,1
"1194",1,1
"1195",2,1
"1196",NA,NA
"1197",NA,NA
"1198",NA,NA
"1199",1,1
"1200",2,1
"1201",NA,NA
"1202",1,1
"1203",2,1
"1204",NA,NA
"1205",1,1
"1206",1,1
"1207",NA,NA
"1208",NA,NA
"1209",2,2
"1210",1,1
"1211",1,1
"1212",1,1
"1213",3,1
"1214",NA,NA
"1215",2,2
"1216",1,1
"1217",1,1
"1218",1,4
"1219",1,1
"1220",1,1
"1221",1,1
"1222",4,3
"1223",NA,NA
"1224",3,1
"1225",1,1
"1226",1,1
"1227",NA,NA
"1228",1,1
"1229",2,1
"1230",1,1
"1231",1,1
"1232",NA,NA
"1233",1,1
"1234",NA,NA
"1235",1,1
"1236",1,1
"1237",NA,NA
"1238",1,1
"1239",1,1
"1240",1,1
"1241",NA,NA
"1242",NA,NA
"1243",NA,NA
"1244",1,1
"1245",1,1
"1246",2,1
"1247",NA,NA
"1248",3,1
"1249",NA,NA
"1250",NA,NA
"1251",1,1
"1252",1,1
"1253",1,1
"1254",1,1
"1255",NA,NA
"1256",1,1
"1257",1,1
"1258",1,1
"1259",1,1
"1260",NA,NA
"1261",NA,NA
"1262",1,1
"1263",1,3
"1264",NA,NA
"1265",1,NA
"1266",2,1
"1267",1,1
"1268",4,1
"1269",1,1
"1270",NA,NA
