"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"235",3,1,0,0,0,0,0,1,0,0,0
"236",4,1,0,0,0,1,0,0,0,0,0
"237",3,0,0,0,0,0,0,0,0,0,0
"238",3,1,0,0,0,0,0,0,0,0,0
"239",2,1,0,0,0,0,0,0,0,0,0
"240",4,0,0,0,0,0,0,0,1,0,0
"241",3,1,0,0,0,0,0,0,0,0,0
"242",3,1,0,0,0,1,0,0,0,0,0
"243",NA,0,0,0,0,0,0,0,0,0,0
"244",3,0,0,0,0,1,0,0,0,0,0
"245",3,0,0,0,0,1,0,0,0,0,0
"246",3,1,0,0,0,0,0,1,0,0,0
"247",2,1,0,1,0,0,0,0,0,0,1
"248",4,0,0,0,0,0,0,0,0,0,1
"249",3,0,0,0,0,0,0,0,0,0,0
"250",3,1,0,0,0,0,0,1,0,0,0
"251",4,0,0,0,0,0,0,0,1,0,0
"252",NA,0,0,0,0,0,0,0,0,0,0
"253",1,1,0,0,0,0,0,1,0,0,0
"254",NA,0,0,0,0,0,0,0,0,0,0
"255",3,1,0,0,0,0,0,0,0,0,0
"256",3,1,0,0,0,0,0,0,0,0,0
"257",2,1,0,0,1,0,0,0,0,0,0
"258",4,0,0,1,0,0,0,0,0,0,0
"259",1,0,0,0,0,0,0,0,0,0,0
"260",3,0,0,0,0,0,0,0,0,0,0
"261",NA,0,0,0,0,0,0,0,0,0,0
"262",4,0,0,0,0,0,0,1,0,0,0
"263",3,0,0,0,0,0,0,1,0,0,0
"264",3,0,0,0,0,1,0,1,0,0,0
"265",2,1,0,0,0,0,0,0,0,0,0
"266",3,1,0,0,0,0,0,0,0,0,0
"267",4,1,0,0,0,0,0,1,1,0,0
"268",4,0,0,0,0,1,0,0,0,0,0
"269",4,0,0,0,0,0,0,0,0,0,0
"270",3,0,0,0,0,0,0,0,0,0,0
"271",NA,0,0,0,0,0,0,0,0,0,0
"272",3,0,0,0,0,0,0,0,0,0,0
"273",3,1,0,0,0,0,0,0,0,0,0
"274",3,0,0,0,0,0,0,0,0,0,0
"275",2,0,0,0,0,0,0,0,0,0,0
"276",NA,0,0,0,0,0,0,0,0,0,0
"277",2,1,0,0,0,0,0,0,0,0,0
"278",1,0,0,0,0,0,0,0,0,0,0
"279",2,1,0,0,1,1,0,0,1,0,1
"280",3,1,0,0,0,0,0,0,1,0,0
"281",1,0,0,0,0,0,0,0,0,0,0
"282",2,0,0,0,0,0,0,0,0,0,0
"283",2,1,0,0,0,0,0,0,1,0,0
"284",1,0,0,0,0,0,0,1,0,0,0
"285",NA,0,0,0,0,0,0,0,0,0,0
"286",NA,0,0,0,0,0,0,0,0,0,0
"287",3,1,0,0,0,0,0,0,1,0,0
"288",4,0,0,0,0,0,0,1,0,0,0
"289",NA,0,0,0,0,0,0,0,0,0,0
"290",4,1,0,0,0,0,0,0,0,0,0
"291",4,0,0,0,0,0,0,0,0,0,0
"292",3,1,0,0,0,0,0,0,0,0,0
"293",4,0,0,0,0,1,0,0,0,0,0
"294",4,0,0,0,0,0,0,1,0,0,0
"295",2,1,0,0,0,0,0,0,0,0,0
"296",2,0,0,0,0,0,0,0,1,0,0
"297",4,0,0,0,0,0,0,0,1,0,0
"298",4,1,0,0,0,1,0,1,0,0,0
"299",4,1,0,0,0,0,0,0,0,0,0
"300",3,0,0,0,0,0,0,0,0,0,1
"301",2,1,0,0,0,0,0,0,0,0,1
"302",1,1,0,0,0,1,0,0,1,0,0
"303",3,0,0,0,0,1,0,0,0,0,0
"304",4,0,0,0,0,0,0,0,0,0,1
"305",4,1,0,0,0,0,0,0,0,0,0
"306",2,0,0,0,0,1,0,0,0,0,0
"307",1,0,0,0,0,0,0,0,0,0,0
"308",4,0,0,0,0,1,0,0,0,0,0
"309",1,0,1,0,0,0,0,0,0,0,0
"310",3,0,0,0,0,0,0,0,0,0,1
"311",3,0,0,0,0,0,0,0,0,0,0
"312",4,1,0,0,0,0,0,0,1,0,0
"313",3,0,0,0,0,0,0,1,0,0,0
"314",1,0,0,0,0,0,0,0,0,0,0
"315",4,0,0,0,0,0,0,0,1,0,0
"316",4,1,0,0,0,0,0,0,0,0,0
"317",NA,0,0,0,0,0,0,0,0,0,0
"318",4,1,0,0,0,0,0,0,1,0,0
"319",3,1,0,0,0,0,0,0,0,0,0
"320",3,1,0,0,0,0,0,1,1,0,1
"321",3,0,0,0,0,0,0,0,0,0,0
"322",NA,0,0,0,0,0,0,0,0,0,0
"323",3,1,0,0,0,0,0,0,0,0,0
"324",4,1,0,0,0,0,0,0,0,0,0
"325",3,1,0,0,0,0,0,0,0,0,0
"326",3,1,0,0,0,0,0,0,1,0,0
"327",3,0,0,0,0,1,0,0,0,0,0
"328",1,0,0,0,0,0,0,0,1,0,0
"329",4,0,0,0,0,1,0,0,0,0,0
"330",2,0,0,0,0,0,0,0,1,0,0
"331",4,1,0,1,0,0,0,0,0,0,0
"332",3,0,0,0,0,0,0,0,0,0,0
"333",3,1,0,0,0,0,0,0,0,0,0
"334",3,1,0,0,0,0,1,0,0,1,0
"335",NA,0,0,0,0,0,0,0,0,0,0
"336",4,1,0,0,1,1,0,0,1,1,0
"337",3,0,0,0,0,0,0,0,1,0,0
"338",NA,0,0,0,0,0,0,0,0,0,0
"339",3,0,0,0,0,0,0,0,1,0,0
"340",1,1,0,0,0,0,0,0,0,0,0
"341",3,0,0,0,0,0,0,0,0,0,0
"342",3,0,0,0,0,0,0,0,1,0,0
"343",1,1,0,0,0,0,0,0,0,0,1
"344",2,1,1,1,0,0,0,0,0,0,0
"345",4,1,0,0,0,0,0,1,0,1,0
"346",4,0,0,1,1,0,0,0,0,0,0
"347",4,0,0,0,0,1,0,0,0,0,0
"348",4,1,1,0,0,1,0,0,0,0,0
"349",3,1,0,0,0,0,0,0,0,0,0
"350",NA,0,0,0,0,0,0,0,0,0,0
"351",3,0,0,0,1,0,0,0,0,0,0
"352",3,1,0,0,0,0,0,0,0,0,0
"353",NA,0,0,0,0,0,0,0,0,0,0
"354",4,1,0,0,0,1,0,1,1,0,0
"355",3,0,0,0,0,0,0,0,0,0,0
"356",NA,0,0,0,0,0,0,0,0,0,0
"357",3,1,0,0,0,0,0,0,0,0,0
"358",1,0,0,0,0,0,0,0,0,0,0
"359",3,0,0,0,0,0,0,0,1,0,0
"360",4,1,0,0,0,0,0,0,0,0,0
"361",3,0,0,0,0,0,0,0,1,0,0
"362",3,1,0,0,0,0,0,0,0,0,0
"363",1,0,0,0,0,0,0,0,0,0,0
"364",3,1,0,0,0,0,0,0,0,0,0
"365",1,1,0,0,0,0,0,0,0,0,0
"366",4,1,0,0,0,0,0,0,0,0,0
"367",4,0,0,0,0,0,0,1,0,0,0
"368",4,0,0,0,0,1,0,0,0,0,0
"369",4,0,0,0,0,0,0,1,0,0,0
"370",3,1,0,0,0,0,0,0,0,0,0
"371",3,0,0,0,0,0,0,0,0,0,0
"372",3,1,0,0,0,0,0,0,0,0,0
"373",4,0,0,0,1,0,1,0,0,0,0
"374",NA,0,0,0,0,0,0,0,0,0,0
"375",1,0,0,0,0,0,0,0,0,0,1
"376",1,1,0,0,0,0,0,0,0,0,0
"377",1,0,0,0,0,0,0,0,0,0,0
"378",3,0,0,0,0,0,0,0,0,0,0
"379",3,1,0,0,0,0,0,0,1,0,0
"380",4,1,0,0,0,0,0,0,0,0,0
"381",4,0,0,0,0,1,0,0,0,0,0
"382",3,1,0,0,0,0,0,0,0,0,0
"383",3,1,0,0,0,0,0,0,0,0,0
"384",3,1,0,0,0,0,0,1,0,0,0
"385",4,0,0,0,0,0,0,0,0,0,0
"386",1,1,0,0,1,0,0,0,0,0,1
"387",3,1,0,0,0,0,0,0,1,0,0
"388",4,1,0,0,0,1,0,0,0,0,0
"389",4,0,0,0,0,0,0,0,1,0,0
"390",4,0,0,0,0,0,1,0,0,0,0
"391",4,1,0,0,0,0,0,1,1,0,0
"392",NA,0,0,0,0,0,0,0,0,0,0
"393",1,0,0,0,0,0,0,0,0,0,0
