"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"665",0,0,0,0,NA
"666",0,1,0,0,4
"667",0,0,0,0,NA
"668",1,0,0,0,1
"669",0,1,0,0,2
"670",0,0,0,0,NA
"671",0,1,0,0,2
"672",1,0,0,0,1
"673",0,0,0,0,NA
"674",0,1,0,0,2
"675",0,0,0,0,NA
"676",0,0,0,0,NA
"677",0,0,0,0,NA
"678",0,0,1,0,NA
"679",0,0,0,0,NA
"680",0,0,0,0,NA
"681",0,0,0,0,NA
"682",0,0,0,0,NA
"683",0,0,0,0,NA
"684",0,0,0,0,NA
"685",0,1,0,0,2
"686",0,0,0,0,NA
"687",0,0,0,0,NA
"688",0,0,0,0,NA
"689",0,1,0,0,2
"690",0,0,0,0,NA
"691",1,0,0,0,1
"692",0,0,0,0,NA
"693",0,1,0,0,1
"694",0,0,0,0,NA
"695",0,0,0,0,NA
"696",0,1,0,0,2
"697",0,0,0,0,NA
"698",0,0,0,0,NA
"699",0,0,0,0,NA
"700",0,1,0,0,2
"701",1,0,0,0,1
"702",0,1,0,0,2
"703",0,0,1,0,3
"704",0,0,0,0,NA
"705",1,0,1,0,1
"706",0,0,0,0,NA
"707",0,1,0,0,2
"708",0,0,0,0,1
"709",0,0,0,0,NA
"710",0,0,0,0,NA
"711",0,0,0,0,NA
"712",0,0,0,0,NA
"713",0,0,0,0,NA
"714",0,0,0,0,NA
"715",0,0,0,1,1
"716",0,0,0,0,NA
"717",0,0,0,0,NA
"718",0,0,0,0,NA
"719",0,0,0,0,NA
"720",0,1,0,0,2
"721",1,1,0,0,1
"722",0,0,0,0,NA
"723",0,0,0,1,4
"724",0,0,0,0,NA
"725",0,1,0,0,2
"726",0,0,0,0,NA
"727",0,1,1,0,3
"728",0,0,0,0,NA
"729",0,0,0,0,NA
"730",0,0,0,1,4
"731",0,0,0,0,NA
"732",0,1,0,0,2
"733",0,0,0,0,NA
"734",1,0,0,0,1
"735",0,1,0,0,2
"736",0,1,0,0,2
"737",1,0,0,0,1
"738",1,0,0,0,1
"739",0,0,0,0,NA
"740",1,0,0,0,1
"741",1,1,0,0,1
"742",0,0,0,0,NA
"743",0,1,0,0,2
"744",0,0,0,0,NA
"745",0,0,0,0,NA
"746",0,0,0,0,NA
"747",0,1,0,0,2
"748",0,1,0,0,2
"749",0,0,0,0,NA
"750",0,0,0,0,NA
"751",0,0,0,0,NA
"752",0,1,0,0,2
"753",1,0,0,0,1
"754",0,0,0,0,NA
"755",1,0,0,0,1
"756",0,0,0,0,NA
"757",0,0,1,0,3
"758",0,1,0,0,2
"759",0,0,0,0,NA
"760",0,0,0,0,NA
"761",0,0,0,0,NA
"762",0,0,0,0,NA
"763",0,0,0,0,3
"764",0,0,0,0,NA
"765",0,1,0,0,2
"766",0,1,0,0,2
"767",0,1,0,0,NA
"768",0,1,0,0,2
"769",0,0,0,0,NA
"770",0,1,0,0,2
"771",0,0,0,0,NA
"772",0,0,0,0,NA
"773",0,0,0,0,NA
"774",1,0,0,0,1
"775",0,0,0,0,NA
"776",0,1,0,0,2
"777",0,1,1,0,2
"778",0,0,0,0,NA
"779",0,0,0,0,NA
"780",0,0,0,0,NA
"781",0,0,0,0,NA
"782",0,0,0,0,NA
"783",0,0,0,0,NA
"784",0,1,0,0,2
"785",0,1,0,0,2
"786",0,0,0,0,NA
"787",1,0,0,0,1
"788",1,0,0,0,1
"789",0,0,0,0,NA
"790",0,0,0,1,4
"791",0,0,1,0,1
"792",1,1,1,0,1
"793",0,0,0,0,NA
"794",0,1,1,0,2
"795",0,0,0,0,NA
"796",0,0,0,0,NA
"797",0,1,0,0,2
"798",1,0,0,0,1
"799",0,0,0,0,NA
"800",0,0,0,0,NA
"801",0,1,1,0,2
"802",0,0,0,0,NA
"803",0,0,0,0,NA
"804",0,1,0,0,NA
"805",1,0,0,0,1
"806",0,1,0,0,2
"807",0,0,0,0,NA
"808",0,1,0,0,2
"809",0,0,1,0,3
"810",0,0,0,0,NA
"811",0,0,1,0,3
"812",0,0,0,0,NA
"813",0,0,0,0,NA
"814",0,0,1,0,3
"815",0,0,0,0,NA
"816",0,1,0,0,2
"817",0,0,0,0,NA
"818",0,0,0,0,NA
"819",0,0,0,0,NA
"820",0,0,0,0,NA
"821",0,0,0,0,NA
"822",0,0,0,0,NA
"823",0,1,0,0,2
"824",0,1,0,0,2
"825",0,1,0,0,2
"826",1,0,0,0,1
"827",0,1,0,0,2
"828",0,0,0,0,NA
"829",0,1,0,0,2
"830",1,0,0,0,1
"831",0,0,0,0,NA
"832",0,0,0,0,NA
"833",0,0,0,0,NA
"834",1,0,0,0,1
"835",0,0,0,0,NA
"836",0,1,1,0,3
