"","formally_taught_perl","formally_taught_other_os_language","other_os_language_taught"
"621",1,1,""
"622",NA,NA,""
"623",1,1,""
"624",3,1,""
"625",1,1,""
"626",1,3,"PHP"
"627",1,1,""
"628",1,1,""
"629",1,1,""
"630",NA,NA,""
"631",3,4,""
"632",1,3,"csh"
"633",1,1,""
"634",1,1,""
"635",1,NA,""
"636",3,3,"Python"
"637",NA,NA,""
"638",1,3,"Python"
"639",1,1,""
"640",1,1,""
"641",1,3,"Scheme Python"
"642",1,3,""
"643",2,1,""
"644",1,1,""
"645",1,1,""
"646",1,3,"lisp, smalltalk, prolog, clu"
"647",1,1,""
"648",3,3,"Python"
"649",4,3,"python"
"650",2,1,""
"651",NA,NA,""
"652",1,1,""
"653",1,1,""
"654",1,1,""
"655",1,4,""
"656",1,2,"PHP"
"657",1,1,""
"658",1,1,""
"659",1,1,""
"660",1,1,""
"661",NA,NA,""
"662",1,1,""
"663",1,1,""
"664",1,1,""
"665",1,3,"PHP"
"666",1,3,"What is ""open source dynamic languages""? Does Bash count? C++?"
"667",1,3,""
"668",1,1,""
"669",1,1,""
"670",1,2,""
"671",1,1,""
"672",1,1,""
"673",NA,NA,""
"674",1,1,""
"675",1,1,""
"676",1,1,""
"677",1,4,"C (1yr), Assembler (1yr), Pascal (1yr), COBOL (1yr), Fortran (1yr), Basic (1 semester)"
"678",1,1,""
"679",1,1,""
"680",1,2,""
"681",1,1,""
"682",1,1,""
"683",1,1,""
"684",1,1,""
"685",1,3,"java"
"686",1,3,"ocaml python ruby"
"687",1,1,""
"688",5,1,""
"689",1,1,""
"690",1,3,"Python"
"691",1,1,""
"692",3,1,""
"693",3,2,""
"694",1,4,"lisp[CR]prolog"
"695",1,1,""
"696",1,1,""
"697",1,1,"Pascal, Algol 68, FORTRAN"
"698",1,2,"Bash - a little"
"699",1,2,"javascript"
"700",1,1,""
"701",3,1,""
"702",1,1,""
"703",1,1,""
"704",1,2,"Some ML"
"705",1,1,""
"706",2,2,"php"
"707",1,1,""
"708",1,1,""
"709",3,1,""
"710",NA,NA,""
"711",NA,NA,""
"712",NA,NA,""
"713",1,1,""
"714",1,2,""
"715",1,1,""
"716",1,1,""
"717",1,1,""
"718",1,1,""
"719",1,2,""
"720",3,3,"PHP"
"721",2,2,"Don't remember that's too long ago."
"722",NA,NA,""
"723",3,3,"Java, C"
"724",1,2,""
"725",4,4,"Perl and Php"
"726",3,5,"C, Pascal, C++"
"727",1,3,""
"728",1,1,""
"729",1,1,""
"730",1,NA,"SNOBOL4"
"731",1,1,""
"732",3,3,"python"
"733",NA,NA,""
"734",1,1,""
"735",1,2,"C++"
"736",1,1,""
"737",3,1,""
"738",2,3,"PHP, JavaScript, Haskell"
"739",1,1,""
"740",1,3,"Scheme"
"741",1,1,""
"742",1,1,""
"743",1,1,""
"744",3,5,"bash/csh, pascal, scheme, lisp, ..."
"745",1,1,""
"746",1,1,""
"747",1,1,""
"748",1,1,""
"749",1,1,""
"750",1,3,"bash, gawk"
"751",1,1,""
"752",1,1,""
"753",1,1,""
"754",1,1,""
"755",5,3,"Python[CR]Ruby"
"756",1,1,""
"757",1,1,""
"758",1,1,""
"759",2,3,""
"760",NA,NA,""
"761",3,2,""
"762",NA,NA,""
"763",1,1,""
"764",NA,NA,""
"765",1,1,""
"766",2,1,""
"767",NA,2,""
"768",1,1,""
"769",1,1,""
"770",1,1,""
"771",NA,NA,""
"772",1,1,""
"773",1,NA,""
"774",NA,1,""
"775",3,5,""
"776",1,1,""
"777",1,3,"python awk"
"778",1,3,"Python"
"779",5,5,""
"780",3,4,"python php javascript "
"781",1,2,"javascript"
"782",4,1,"But I did learn a bit of Java at the same time."
"783",1,3,"Bash"
"784",3,3,"openwatcom Fortran and C/C++"
"785",2,3,"PHP[CR]Python[CR]"
"786",1,1,""
"787",1,1,""
"788",1,1,""
"789",1,3,"Javascript"
"790",2,5,"Java, C++, PHP, Java Script, Object Pascal"
"791",1,1,""
"792",1,NA,""
"793",NA,NA,""
"794",1,1,""
"795",1,2,"C, C++"
"796",1,3,"Bash. Python basics."
"797",1,1,""
"798",1,1,""
"799",1,3,"Scheme"
"800",1,1,""
"801",1,1,""
"802",1,1,""
"803",1,1,""
"804",1,1,""
"805",1,1,""
"806",1,1,""
"807",1,1,""
"808",1,1,""
"809",2,4,"Scheme, Java [dynamic?], Python"
"810",3,2,""
"811",1,1,""
"812",1,3,"Pascal"
"813",1,1,""
"814",2,3,"php"
"815",1,1,""
"816",1,3,"BASH"
"817",1,1,""
"818",1,1,""
"819",1,1,""
"820",1,3,""
"821",1,1,""
"822",1,1,""
"823",1,4,"PHP, Javascript, Python, Prolog"
"824",1,1,""
"825",1,4,"C++, C"
"826",1,1,""
"827",1,1,""
"828",1,1,""
"829",1,4,""
"830",3,1,""
"831",1,1,""
"832",3,5,""
"833",1,1,""
"834",1,1,""
"835",1,3,""
"836",1,1,""
"837",NA,NA,""
"838",1,1,""
"839",1,1,""
"840",1,1,""
"841",1,1,""
"842",1,1,""
"843",NA,NA,""
"844",1,1,""
"845",NA,NA,""
"846",1,1,""
"847",1,1,""
"848",1,4,""
"849",3,3,"scheme[CR]ruby"
"850",NA,NA,""
"851",1,1,""
"852",1,2,""
"853",1,1,""
"854",1,1,""
"855",1,2,"Java"
"856",1,1,""
"857",1,1,""
"858",2,2,"python, setl"
"859",3,1,""
"860",1,1,""
"861",1,1,""
"862",1,1,""
"863",1,1,""
"864",1,1,""
"865",1,3,"Python."
"866",1,1,""
"867",NA,NA,""
"868",1,1,""
"869",1,1,""
"870",3,3,""
"871",1,2,""
"872",1,1,""
"873",1,3,"Unix shell scripting (bash)"
"874",3,3,"Java, Prolog"
"875",NA,NA,""
"876",1,1,""
"877",1,1,""
"878",NA,NA,""
"879",1,3,""
"880",NA,NA,""
"881",NA,NA,""
"882",1,1,""
"883",1,1,""
"884",1,1,""
"885",1,1,""
"886",1,1,""
"887",2,1,"Does Java count as dynamic? We had quite a lot of that."
"888",1,1,""
"889",1,1,""
"890",1,1,""
"891",1,1,""
"892",1,1,""
"893",1,1,""
"894",1,1,""
"895",1,2,"Python"
"896",1,1,""
"897",1,1,""
"898",1,1,""
"899",1,1,""
"900",1,1,""
"901",1,1,""
"902",NA,NA,""
"903",NA,NA,""
"904",1,1,""
"905",NA,NA,""
"906",1,1,"All self-taught"
"907",1,1,""
"908",1,1,""
"909",1,1,""
"910",1,3,""
"911",1,1,""
"912",1,1,""
"913",1,1,""
"914",NA,NA,""
"915",3,3,""
"916",NA,NA,""
"917",1,1,""
"918",1,3,"Python"
"919",1,1,""
"920",1,1,""
"921",1,3,"PHP"
"922",1,1,""
"923",2,1,""
"924",1,1,""
"925",1,1,""
"926",1,1,""
"927",1,1,""
"928",1,1,""
"929",1,1,""
"930",1,1,""
"931",1,1,""
"932",1,1,""
"933",1,1,""
"934",1,1,""
"935",1,1,""
"936",1,1,"Only Pascal was in our curriculum. Later I learned C and APL myself."
"937",NA,NA,""
"938",1,2,""
"939",3,1,""
"940",1,3,"(early mid 80's) studies some lisp, prolog during 3rd year. Used them in 4th for my minor masters thesis. Glad I did this, made later uptake of Perl & other dynamic languages easier."
"941",1,1,""
"942",4,4,""
"943",1,3,"Python"
"944",3,3,"Python"
"945",1,1,""
"946",1,1,""
"947",1,1,""
"948",1,1,""
"949",1,3,"Scheme, Python"
"950",1,1,""
"951",1,1,""
"952",1,1,""
"953",NA,NA,""
"954",1,1,""
"955",1,1,""
"956",1,1,""
"957",1,1,""
"958",NA,NA,""
"959",2,2,""
"960",1,1,""
"961",NA,NA,""
"962",1,1,""
"963",1,5,"Java, Python, Ruby"
"964",1,2,"shell, awk"
"965",NA,NA,""
"966",1,1,""
"967",1,3,"Bash shell scripting"
"968",1,1,""
"969",1,1,""
"970",1,3,"PHP"
