"","gender","age_group"
"1033",1,6
"1034",1,3
"1035",NA,NA
"1036",1,3
"1037",1,3
"1038",1,6
"1039",1,4
"1040",1,4
"1041",1,5
"1042",1,3
"1043",1,5
"1044",2,5
"1045",1,4
"1046",1,4
"1047",1,2
"1048",NA,NA
"1049",1,3
"1050",1,4
"1051",1,6
"1052",1,4
"1053",1,6
"1054",1,4
"1055",2,4
"1056",1,2
"1057",1,4
"1058",NA,NA
"1059",NA,NA
"1060",1,3
"1061",1,6
"1062",1,6
"1063",1,6
"1064",NA,NA
"1065",1,4
"1066",1,6
"1067",1,4
"1068",1,2
"1069",1,5
"1070",1,6
"1071",1,3
"1072",1,5
"1073",1,3
"1074",1,4
"1075",1,4
"1076",1,3
"1077",1,2
"1078",1,3
"1079",1,5
"1080",1,3
"1081",1,2
"1082",1,2
"1083",1,4
"1084",1,3
"1085",1,4
"1086",1,5
"1087",1,6
"1088",NA,NA
"1089",1,4
"1090",1,6
"1091",1,3
"1092",1,3
"1093",1,4
"1094",1,4
"1095",2,4
"1096",1,5
"1097",1,3
"1098",1,3
"1099",1,2
"1100",1,2
"1101",NA,NA
"1102",1,4
"1103",1,5
"1104",3,5
"1105",1,3
"1106",1,5
"1107",1,5
"1108",1,3
"1109",1,4
"1110",1,2
"1111",1,5
"1112",1,4
"1113",1,1
"1114",1,4
"1115",1,5
"1116",1,5
"1117",1,4
"1118",NA,NA
"1119",1,3
"1120",1,4
"1121",1,6
"1122",1,1
"1123",1,3
"1124",1,6
"1125",1,3
"1126",1,3
"1127",1,3
"1128",1,4
"1129",1,3
"1130",1,5
"1131",1,3
"1132",1,3
"1133",1,3
"1134",1,3
"1135",1,5
"1136",1,5
"1137",1,4
"1138",1,5
"1139",NA,NA
"1140",1,3
"1141",NA,NA
"1142",1,2
"1143",1,5
"1144",1,4
"1145",1,4
"1146",1,4
"1147",1,4
"1148",1,4
"1149",1,4
"1150",1,2
"1151",1,4
"1152",1,4
"1153",1,4
"1154",1,5
"1155",NA,NA
"1156",1,2
"1157",1,5
"1158",1,4
"1159",1,3
"1160",1,1
"1161",1,4
"1162",1,4
"1163",1,4
"1164",1,4
"1165",1,4
"1166",1,5
"1167",1,4
"1168",1,4
"1169",1,3
"1170",1,2
"1171",1,5
"1172",1,4
"1173",1,3
"1174",NA,NA
"1175",1,4
"1176",1,4
"1177",1,1
"1178",1,5
"1179",1,4
"1180",1,4
"1181",1,5
"1182",1,3
"1183",1,3
"1184",1,3
"1185",1,5
"1186",NA,NA
"1187",NA,NA
"1188",1,2
"1189",1,6
"1190",1,4
"1191",1,5
"1192",1,4
"1193",1,4
"1194",1,4
"1195",1,3
"1196",NA,NA
"1197",NA,NA
"1198",1,4
"1199",1,4
"1200",1,4
"1201",NA,NA
"1202",1,4
"1203",2,5
"1204",1,3
"1205",1,5
"1206",1,3
"1207",1,6
"1208",1,3
"1209",1,4
"1210",1,NA
"1211",1,5
"1212",1,1
"1213",1,3
"1214",1,2
"1215",1,3
"1216",1,5
"1217",1,3
"1218",1,3
"1219",1,5
"1220",1,6
"1221",1,4
"1222",1,5
