"","install_CPAN_always_test_run","freq_force_install_CPAN_mods_after_test_fail","try_to_understand_why_tests_fail_before_force_install","report_test_fails_thru_approp_channels"
"798",6,5,6,5
"799",3,6,6,2
"800",NA,NA,NA,NA
"801",NA,NA,NA,NA
"802",7,3,7,6
"803",7,3,7,5
"804",NA,NA,NA,NA
"805",5,4,7,3
"806",6,3,6,3
"807",NA,NA,NA,NA
"808",3,3,3,3
"809",NA,NA,NA,NA
"810",4,5,5,3
"811",6,6,6,3
"812",7,3,6,6
"813",6,3,6,2
"814",NA,NA,NA,NA
"815",6,3,7,5
"816",5,4,7,4
"817",5,5,4,3
"818",7,3,6,2
"819",7,2,7,2
"820",NA,NA,NA,NA
"821",7,2,7,7
"822",7,3,7,5
"823",NA,NA,NA,NA
"824",1,2,1,1
"825",NA,NA,NA,NA
"826",7,2,5,3
"827",5,4,5,4
"828",NA,NA,NA,NA
"829",1,1,1,1
"830",5,2,1,1
"831",5,4,5,4
"832",NA,NA,NA,NA
"833",6,3,6,5
"834",7,3,6,6
"835",NA,NA,NA,NA
"836",6,5,7,5
"837",NA,NA,NA,NA
"838",6,5,7,6
"839",NA,4,7,5
"840",1,1,1,1
"841",1,1,1,1
"842",5,4,4,1
"843",NA,NA,NA,NA
"844",NA,NA,NA,NA
"845",NA,NA,NA,NA
"846",7,3,6,6
"847",7,1,1,1
"848",7,5,6,6
"849",5,4,3,3
"850",NA,NA,NA,NA
"851",6,4,6,5
"852",NA,NA,NA,NA
"853",5,2,7,7
"854",6,3,6,4
"855",6,5,7,5
"856",3,1,2,2
"857",6,3,5,4
"858",NA,NA,NA,NA
"859",6,5,6,4
"860",2,1,1,1
"861",1,1,1,1
"862",6,4,7,5
"863",4,4,6,4
"864",5,6,5,4
"865",7,2,6,3
"866",NA,NA,NA,NA
"867",NA,NA,NA,NA
"868",2,5,5,3
"869",NA,NA,NA,NA
"870",1,1,1,1
"871",7,3,6,4
"872",5,3,5,3
"873",4,3,6,6
"874",4,5,5,4
"875",NA,NA,NA,NA
"876",6,3,6,3
"877",3,2,2,2
"878",NA,NA,NA,NA
"879",7,4,4,4
"880",NA,NA,NA,NA
"881",NA,NA,NA,NA
"882",7,3,6,7
"883",7,4,6,5
"884",7,3,6,6
"885",7,4,7,7
"886",1,1,1,1
"887",5,4,6,3
"888",NA,NA,NA,NA
"889",4,3,6,5
"890",6,3,6,5
"891",4,4,2,2
"892",5,5,4,3
"893",7,7,NA,3
"894",NA,NA,NA,NA
"895",7,3,5,2
"896",5,3,6,6
"897",6,5,7,4
"898",3,1,1,1
"899",NA,NA,NA,NA
"900",5,3,6,5
"901",NA,NA,NA,NA
"902",NA,NA,NA,NA
"903",NA,NA,NA,NA
"904",NA,NA,NA,NA
"905",NA,NA,NA,NA
"906",NA,NA,NA,NA
"907",NA,NA,NA,NA
"908",4,6,6,4
"909",5,5,4,3
"910",NA,NA,NA,NA
"911",7,5,6,2
"912",NA,NA,NA,NA
"913",6,5,6,4
"914",NA,NA,NA,NA
"915",1,5,5,1
"916",NA,NA,NA,NA
"917",NA,4,6,6
"918",NA,NA,NA,NA
"919",6,5,7,4
"920",3,3,1,6
"921",6,4,6,5
"922",NA,NA,NA,NA
"923",4,3,7,3
"924",7,3,7,6
"925",NA,NA,NA,NA
"926",5,5,6,4
"927",6,6,3,2
"928",7,2,1,1
"929",5,4,5,4
"930",NA,NA,NA,NA
"931",1,1,1,1
"932",5,3,7,5
"933",6,4,6,1
"934",4,5,5,5
"935",7,5,6,6
"936",6,5,5,6
"937",NA,NA,NA,NA
"938",6,3,1,1
"939",6,6,6,5
"940",7,3,7,6
"941",5,3,5,3
"942",NA,NA,NA,NA
"943",4,5,6,5
"944",7,3,7,4
"945",7,4,6,6
"946",7,3,7,7
"947",1,1,1,1
"948",6,6,6,6
"949",7,3,6,6
"950",6,3,6,4
"951",4,2,6,5
"952",5,3,3,3
"953",NA,NA,NA,NA
"954",1,1,1,1
"955",NA,NA,NA,NA
"956",6,6,4,5
"957",6,3,6,3
"958",NA,NA,NA,NA
"959",3,3,1,3
"960",5,4,6,4
"961",NA,NA,NA,NA
"962",NA,NA,NA,NA
"963",1,1,1,1
"964",6,6,5,5
"965",NA,NA,NA,NA
"966",4,4,6,3
"967",5,5,3,3
"968",1,1,1,1
"969",3,5,3,3
"970",3,1,1,1
"971",NA,NA,NA,NA
"972",7,2,6,6
"973",3,6,5,3
"974",NA,NA,NA,NA
"975",7,7,6,3
"976",6,3,6,4
"977",NA,NA,NA,NA
"978",4,3,3,5
"979",NA,NA,NA,NA
"980",6,5,5,3
"981",NA,NA,NA,NA
"982",6,7,5,2
"983",1,1,7,5
"984",5,4,6,6
"985",6,3,6,6
"986",7,2,6,3
"987",6,4,6,4
"988",NA,NA,NA,NA
"989",5,5,3,3
"990",2,7,2,5
"991",NA,NA,NA,NA
"992",3,3,3,3
"993",NA,NA,NA,NA
"994",NA,NA,NA,NA
"995",NA,NA,NA,NA
"996",4,3,4,3
"997",6,2,6,2
"998",7,4,7,7
"999",7,2,7,7
"1000",4,4,5,4
"1001",7,3,5,6
"1002",NA,NA,NA,NA
"1003",6,3,6,3
"1004",6,4,6,4
"1005",3,5,5,5
"1006",6,1,7,6
"1007",NA,NA,NA,NA
"1008",NA,NA,NA,NA
"1009",7,2,1,7
"1010",7,2,1,1
"1011",6,5,6,5
"1012",3,3,1,3
"1013",NA,NA,NA,NA
"1014",4,6,7,3
"1015",4,6,6,5
"1016",6,3,6,5
"1017",NA,NA,NA,NA
"1018",6,4,6,4
"1019",NA,NA,NA,NA
"1020",6,5,7,3
"1021",6,6,7,2
"1022",2,4,4,1
"1023",6,4,4,3
"1024",7,4,6,7
"1025",4,5,4,2
"1026",NA,NA,NA,NA
"1027",4,3,6,3
"1028",NA,NA,NA,NA
"1029",3,6,2,2
"1030",6,2,1,1
"1031",3,3,6,3
"1032",7,2,7,6
"1033",6,6,6,NA
"1034",6,3,7,3
"1035",NA,NA,NA,NA
"1036",4,5,4,3
"1037",NA,NA,NA,NA
"1038",7,2,1,6
"1039",NA,NA,NA,NA
"1040",7,2,7,6
"1041",6,3,4,3
"1042",NA,NA,NA,NA
"1043",7,3,7,NA
"1044",NA,NA,NA,NA
"1045",NA,NA,NA,NA
"1046",7,7,7,3
"1047",5,3,5,5
"1048",NA,NA,NA,NA
"1049",NA,NA,NA,NA
"1050",1,1,1,1
"1051",7,2,7,7
"1052",5,5,6,3
"1053",7,2,7,7
"1054",6,4,6,5
"1055",NA,NA,NA,NA
"1056",6,6,4,4
"1057",7,2,7,7
"1058",NA,NA,NA,NA
"1059",NA,NA,NA,NA
"1060",6,3,7,3
"1061",6,3,7,5
"1062",6,2,7,5
"1063",6,3,6,6
"1064",NA,NA,NA,NA
"1065",NA,NA,NA,NA
"1066",5,3,5,1
"1067",5,3,6,5
"1068",NA,NA,NA,NA
"1069",6,5,6,4
"1070",6,3,6,4
"1071",NA,NA,NA,NA
"1072",3,3,1,5
"1073",NA,NA,NA,NA
"1074",7,2,7,1
"1075",5,3,1,1
"1076",7,7,4,4
"1077",NA,NA,NA,NA
"1078",6,3,6,5
"1079",3,3,5,3
"1080",6,5,6,5
"1081",NA,NA,NA,NA
"1082",NA,NA,NA,NA
"1083",4,5,5,3
"1084",4,5,6,6
"1085",NA,NA,NA,NA
"1086",5,3,7,3
"1087",5,3,6,5
"1088",NA,NA,NA,NA
"1089",7,2,7,6
"1090",6,3,6,3
"1091",5,6,6,3
"1092",7,5,6,5
"1093",NA,NA,NA,NA
"1094",NA,NA,NA,NA
"1095",6,3,7,4
"1096",6,5,5,3
"1097",NA,NA,NA,NA
"1098",NA,NA,NA,NA
"1099",6,3,6,6
"1100",NA,NA,NA,NA
"1101",NA,NA,NA,NA
"1102",NA,NA,NA,NA
"1103",6,3,6,3
"1104",3,5,7,5
"1105",2,5,5,3
"1106",NA,NA,NA,NA
"1107",6,3,7,5
"1108",NA,NA,NA,NA
